UF,CIDADE,PIB,POPULACAO,PIB_PERCAPITA,COD_TSE
PR,BELA VISTA DA CAROBA,34405.11328125,4176,8238.76953125,75124
PR,PORECATU,112631.171875,14189,7937.91992188,77798
PR,ROSÁRIO DO IVAÍ,41184.69140625,5813,7084.93017578,75744
PR,AMAPORÃ,55568.5390625,5447,10201.6796875,74152
PR,SÃO CARLOS DO IVAÍ,132456.75,5990,22112.98046875,78670
PR,BANDEIRANTES,292894.5,32994,8877.20019531,74454
PR,QUATRO BARRAS,530300625.0,19277,27509.5,77950
PR,QUERÊNCIA DO NORTE,122119.84375,12306,9923.59960938,77976
PR,RESERVA DO IGUAÇU,65388.59765625,7449,8778.16992188,75604
PR,IMBAÚ,65769.6796875,12040,5462.60009766,75442
